sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
Trachyte,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",61.21,0.7,16.96,2.99,2.29,0.15,0.93,2.34,5.47,4.98,0.21,0.09
Syenite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",58.58,0.84,16.64,3.04,3.13,0.13,1.87,3.53,5.24,4.95,0.29,0.28
Nepheline_syenite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",53.56,0.73,20.22,3.45,2.41,0.2,0.76,2.37,8.43,5.68,0.24,0.42
Phonolite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",56.77,0.59,19.76,2.48,1.63,0.18,0.51,2.32,8.41,5.25,0.16,0.61
NASC,composite,shale_composite,North American shale composite,"McLennan et al., 1983; McLennan, 2009; Gromet et al., 1984",64.8,0.7,16.9,1.06,5.48,0.06,2.86,3.63,1.14,3.97,0.13,
PAAS,composite,shale_composite,Post Archaean Australian Shale,"Taylor and McLennan, 1985; Barth et al., 2000; Haskin and Haskin, 1966; McLennan, 2009; Nance and Taylor, 1976; McLennan, 1981, 1989",62.8,1,18.9,0.87,6.61,0.11,2.2,1.3,1.2,3.7,0.16,
shale,composite,shale_composite,Shale,"Mason, 1982",58.4,0.77,15.1,1.23,6.23,0.11,2.5,3.1,1.3,3.2,0.16,
IAS,composite,shale_composite,Indian Archean Shale,"Ray and Paul, 2021",62.3,0.71,18.8,0.6,5.99,0.03,1.06,0.43,0.52,2.88,0.02,
IPAS,composite,shale_composite,Indian post-Archean Shale,"Ray and Paul, 2021",61.6,0.78,17,0.8,5.8,0.04,1.76,1.13,0.51,3.6,0.08,
Amazon,composite,river_sediment,suspended_sediment,"McLennan, 1993",60.2,1.23,22.9,0.52,7.14,0.14,1.96,2.36,1.11,2.28,0.4,
Colora,composite,river_sediment,suspended_sediment,"McLennan, 1993",79.9,0.51,8.28,0.96,2.21,0.06,1.75,4.85,0.66,1.84,0.13,
Columb,composite,river_sediment,suspended_sediment,"McLennan, 1993",64.1,1,16.9,1.06,5.28,0.3,2.5,3.3,2.9,2.9,,
Congo,composite,river_sediment,suspended_sediment,"McLennan, 1993",58,1.59,25.1,0.47,10.09,0.21,1.09,1.34,0.32,1.64,0.39,
Danube,composite,river_sediment,suspended_sediment,"McLennan, 1993",64.9,0.71,12.1,2,5.54,0.08,3.53,6.39,2.38,2.51,0.16,
Gange,composite,river_sediment,suspended_sediment,"McLennan, 1993",66.8,0.97,16,0.91,4.51,0.14,2.26,4.07,1.58,2.77,0.14,
Huang,composite,river_sediment,suspended_sediment,"McLennan, 1993",59.4,,17.3,1.01,5.42,0.13,4,6.62,1.05,3.25,,
Indus,composite,river_sediment,suspended_sediment,"McLennan, 1993",56.3,0.81,15.4,1.42,5.1,0.14,4.19,12.5,1.48,2.73,0.23,
Macken,composite,river_sediment,suspended_sediment,"McLennan, 1993",67.4,0.77,15.7,1,4.22,0.08,0.7,5.35,0.32,4.53,,
Mekong,composite,river_sediment,suspended_sediment,"McLennan, 1993",61.9,0.63,22.3,0.57,7.22,0.13,2.36,0.87,0.74,3.04,0.48,
Mississ.,composite,river_sediment,suspended_sediment,"McLennan, 1993",76.3,0.64,11.5,0.85,2.71,0.07,1.54,2.37,1.36,2.51,0.2,
Niger,composite,river_sediment,suspended_sediment,"McLennan, 1993",51.7,1.44,30.9,0.24,12.45,0.09,1.09,0.48,0.13,1.36,0.39,
Nile,composite,river_sediment,suspended_sediment,"McLennan, 1993",53,,18.8,1.93,12.67,,3.12,5.68,1,2.32,,
Orinoco,composite,river_sediment,suspended_sediment,"McLennan, 1993",69.5,0.97,17.3,0.81,5.47,0.06,1.28,0.8,1.62,2.22,0.15,
Paran,composite,river_sediment,suspended_sediment,"McLennan, 1993",64.7,1.64,20.9,0.52,6.13,0.04,1.89,0.87,0.94,2.27,0.31,
St._Lawr,composite,river_sediment,suspended_sediment,"McLennan, 1993",60,1.44,16.3,1.33,5.86,0.1,4.5,3.57,3.73,3.4,0.06,
Western_Europe,composite,region,denudation,"McLennan, 1993",61.9,0.93,16,1.64,8.2,0.45,2.01,4.71,0.72,2.53,1.13,
Alpine_Europe,composite,region,denudation,"McLennan, 1993",53.9,0.56,11.6,2.21,4.12,0.14,2.25,21.2,1.18,2.46,0.64,
Central_America,composite,region,denudation,"McLennan, 1993",62.5,0.9,18.8,0.91,5.95,0.09,2.7,2.86,2.84,2.68,,
Northwest_South_America,composite,region,denudation,"McLennan, 1993",67.1,0.66,15.7,1.22,5.87,0.12,2.57,1.91,2.03,2.82,0.25,
Ocean_Islands_(excl._N.Z.),composite,region,denudation,"McLennan, 1993",67.8,0.64,14.4,1.23,4.64,0.09,2.99,2.36,3.53,2.41,0.13,
New_Zealand_(S._Island),composite,region,denudation,"McLennan, 1993",62.6,0.67,18.9,0.76,4.75,0.07,2.38,3.38,2.49,3.52,0.21,
U.S._Atlantic_Coast,composite,region,denudation,"McLennan, 1993",61.2,0.9,17.9,0.9,5.77,0.2,3.12,3.12,1.54,3.42,0.21,
