sample	category	subcategory	subsubcategory	reference	SiO2	TiO2	Al2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	CO2
Trachyte	composite	igneous_composite	intermediate	Hyndman, 1985; Le Maitre, 1976	61.21	0.7	16.96	2.99	2.29	0.15	0.93	2.34	5.47	4.98	0.21	0.09
Syenite	composite	igneous_composite	intermediate	Hyndman, 1985; Le Maitre, 1976	58.58	0.84	16.64	3.04	3.13	0.13	1.87	3.53	5.24	4.95	0.29	0.28
Nepheline_syenite	composite	igneous_composite	intermediate	Hyndman, 1985; Le Maitre, 1976	53.56	0.73	20.22	3.45	2.41	0.2	0.76	2.37	8.43	5.68	0.24	0.42
Phonolite	composite	igneous_composite	intermediate	Hyndman, 1985; Le Maitre, 1976	56.77	0.59	19.76	2.48	1.63	0.18	0.51	2.32	8.41	5.25	0.16	0.61
NASC	composite	shale_composite	North American shale composite	McLennan et al., 1983; McLennan, 2009; Gromet et al., 1984	64.8	0.7	16.9	1.06	5.48	0.06	2.86	3.63	1.14	3.97	0.13	
PAAS	composite	shale_composite	Post Archaean Australian Shale	Taylor and McLennan, 1985; Barth et al., 2000; Haskin and Haskin, 1966; McLennan, 2009; Nance and Taylor, 1976; McLennan, 1981, 1989	62.8	1	18.9	0.87	6.61	0.11	2.2	1.3	1.2	3.7	0.16	
shale	composite	shale_composite	Shale	Mason, 1982	58.4	0.77	15.1	1.23	6.23	0.11	2.5	3.1	1.3	3.2	0.16	
IAS	composite	shale_composite	Indian Archean Shale	Ray and Paul, 2021	62.3	0.71	18.8	0.6	5.99	0.03	1.06	0.43	0.52	2.88	0.02	
IPAS	composite	shale_composite	Indian post-Archean Shale	Ray and Paul, 2021	61.6	0.78	17	0.8	5.8	0.04	1.76	1.13	0.51	3.6	0.08	
YRS-171	sample	Yamuna	river	this study	69.54	0.41	12.13	1.338535976	4.60903224	0.11	2.05	1.63	2.11	2.19	0.09	
YRS-170	sample	Yamuna	river	this study	69.66	0.4	11.77	1.85860968	6.028562885	0.26	1.73	1.53	1.86	2.13	0.09	
YRS-155A	sample	Yamuna	river	this study	81.36	0.25	7.79	0.809656325	1.77797615	0.05	1.22	1.45	1.93	1.61	0.05	
YRS-4	sample	Yamuna	river	this study	83.74	0.24	5.58	0.782917656	1.539647817	0.04	1.35	2.11	0.65	1.22	0.06	
YRS-169A	sample	Yamuna	tributary	this study	62.64	1.01	10.94	1.916874255	7.683309275	0.05	5.53	1.59	0.63	1.72	0.16	
YRS-169	sample	Yamuna	tributary	this study	68.49	0.47	11.75	1.79406488	5.995036185	0.23	1.87	1.65	1.81	2.03	0.11	
YRS-168	sample	Yamuna	tributary	this study	73.09	0.4	9.64	1.147606128	3.157334824	0.1	1.78	2.71	1.67	1.56	0.08	
YRS-167A	sample	Yamuna	tributary	this study	75.32	0.5	8.63	1.153860407	3.078293694	0.04	2.64	1.2	1.08	2.02	0.13	
YRS-165	sample	Yamuna	tributary	this study	63.49	0.94	12.24	1.795881075	5.916706637	0.06	2.88	2.44	2.58	2.59	0.2	
YRS-163	sample	Yamuna	tributary	this study	73.79	0.47	7.73	1.473504879	3.594048531	0.07	2.45	2.56	1.39	0.97	0.07	
YRS-159	sample	Yamuna	tributary	this study	79.29	0.47	6.2	1.309373923	2.847122869	0.05	2.29	1.47	1.04	0.94	0.07	
YRS-158A	sample	Yamuna	tributary	this study	72.96	0.58	8.06	1.460307684	3.422854544	0.1	1.98	3.21	1.65	1.29	0.09	
YRS-156C	sample	Yamuna	tributary	this study	70.5	0.55	12.19	1.055572762	4.25915108	0.07	1.48	0.54	1.05	2.38	0.06	
YRS-156	sample	Yamuna	tributary	this study	71.61	0.53	11.3	1.104858538	3.996093876	0.07	1.73	0.57	1.11	2.3	0.09	
YRS-154A	sample	Yamuna	tributary	this study	57.17	0.56	15.9	1.033497016	5.858065954	0.04	2.33	3.5	0.24	4.25	0.06	
YRS-153A	sample	Yamuna	tributary	this study	67.35	0.59	11.85	1.643309825	6.066450076	0.09	2.94	1.05	1.22	2.48	0.06	
YRS-151	sample	Yamuna	tributary	this study	64.68	0.52	11.62	1.581315358	5.720486339	0.07	3.48	2.43	1.32	2.14	0.07	
YRS-149A	sample	Yamuna	tributary	this study	64.14	0.59	15.59	1.036623466	6.290895741	0.06	1.51	0.26	0.64	3.31	0.09	
YRS-146	sample	Yamuna	tributary	this study	65.91	0.59	14.01	0.985685594	4.87438645	0.08	1.87	0.96	0.92	2.93	0.09	
YRS-145	sample	Yamuna	tributary	this study	64.87	0.58	14.52	1.136691669	5.673347184	0.07	1.81	0.84	1.18	3.09	0.14	
YRS-144B	sample	Yamuna	tributary	this study	72.54	0.6	9.19	1.66864988	4.294120729	0.09	2.1	2.56	1.72	1.64	0.12	
YRS-144	sample	Yamuna	tributary	this study	74.27	0.5	8.67	1.177862546	3.011114224	0.06	2.08	2.12	1.62	1.57	0.09	
YRS-143Y	sample	Yamuna	tributary	this study	76.56	0.56	10.21	1.097092867	3.34038777	0.07	1.05	0.48	1.35	2.09	0.06	
YRS-143X	sample	Yamuna	tributary	this study	79.94	0.39	9.34	0.832750388	2.354130312	0.04	0.69	0.58	0.82	2.15	0.05	
YRS-139Y	sample	Yamuna	tributary	this study	65.99	0.58	13.88	1.042505595	4.966051501	0.07	1.87	0.75	0.74	3.39	0.08	
YRS-139A	sample	Yamuna	tributary	this study	66.54	0.8	14.54	0.875085888	4.484931885	0.07	1.19	0.61	0.8	3.53	0.15	
YRS-138A	sample	Yamuna	tributary	this study	67.43	0.57	12.17	1.235971192	4.328192442	0.09	1.59	1.71	2.21	2.3	0.07	
YRS-134	sample	Yamuna	tributary	this study	65.72	0.7	13.54	1.26915883	5.388419149	0.11	1.74	1.11	1.44	3.07	0.18	
YRS-132	sample	Yamuna	tributary	this study	67.71	0.7	12.8	1.13817135	4.301154421	0.09	1.5	0.85	2.17	2.75	0.16	
YRS-129	sample	Yamuna	tributary	this study	68.86	0.46	11.58	1.197243869	4.30508356	0.07	2.22	1.59	1.12	2.44	0.1	
YRS-121	sample	Yamuna	tributary	this study	70.44	0.3	8.63	1.006413432	2.421682852	0.08	1.45	5.3	0.79	1.87	0.07	
YRS-127A	sample	Yamuna	tributary	this study	76.28	0.48	11.32	0.830750787	2.778564794	0.06	1	0.41	1.1	2.84	0.1	
YRS-122	sample	Yamuna	tributary	this study	65.07	0.56	13.9	0.984545548	4.710521968	0.1	1.43	1.21	1.01	3.01	0.09	
YRS-122A	sample	Yamuna	tributary	this study	64.63	0.62	14.53	0.762614892	4.110968921	0.13	1.52	0.54	0.98	3.28	0.11	
YRS-118	sample	Yamuna	tributary	this study	81.86	0.34	7.77	1.038815725	2.569126275	0.05	1.12	0.7	0.67	1.63	0.07	
YRS-119	sample	Yamuna	tributary	this study	71.22	0.57	12.26	1.032589856	3.72578977	0.08	1.35	1.06	1.61	2.72	0.09	
YRS-117	sample	Yamuna	tributary	this study	78.07	0.44	9.6	1.078005671	3.125767177	0.06	1.02	0.78	1	1.95	0.06	
YRS-112	sample	Yamuna	tributary	this study	74.88	0.47	11.18	1.099066959	3.676330157	0.11	1.35	0.39	1.4	2.31	0.09	
YRS-111	sample	Yamuna	tributary	this study	68.63	0.32	7.71	1.044903222	2.436997446	0.05	3.22	4.87	1.13	1.56	0.08	
YRS-157	sample	Yamuna	tributary	this study	73.89	0.45	10.07	1.227942978	3.464766026	0.08	1.59	1.49	1.95	1.89	0.08	
